date,spy_o,spy_h,spy_l,spy_c,barometer_o,barometer_h,barometer_l,barometer_c,barometer
2016-12-23,225.429993,225.720001,225.210007,225.710007,0.9487625763564499,0.9533776500179663,0.974600251527129,0.9721298957959037,0.9622175934243622
2016-12-27,226.020004,226.729996,226.0,226.270004,0.919545005389867,0.9049249910168883,0.9251145346748113,0.9105282069708948,0.9150281845131154
2016-12-28,226.570007,226.589996,224.270004,224.399994,0.9130322493711822,0.8141731045634207,0.9186017786561265,0.8389103485447359,0.8711793702838664
2016-12-29,224.479996,224.889999,223.839996,224.350006,0.7930740208408192,0.743745508444125,0.8345759971254042,0.8012486525332375,0.7931610447358964
2016-12-30,224.729996,224.830002,222.729996,223.529999,0.8011026769673014,0.5410640495867769,0.8199222960833633,0.6971905318002156,0.7148198886094144
2017-01-03,225.039993,225.830002,223.880005,225.240005,0.5495194035213797,0.5490028745957599,0.7324717031979877,0.7303494430470715,0.6403358560905497
2017-01-04,225.619995,226.75,225.610001,226.580002,0.764047340998922,0.7473499820337766,0.8530812073302192,0.8315554257994969,0.7990084890406036
2017-01-05,226.270004,226.580002,225.479996,226.399994,0.8203602227811714,0.8191250449155587,0.9092593424362199,0.8896087854832915,0.8595883489040603
2017-01-06,226.529999,227.75,225.899994,227.210007,0.8951895436579231,0.893303090190442,0.9383309378368667,0.939498742364355,0.9165805785123968
2017-01-09,226.910004,227.070007,226.419998,226.460007,0.8716313330937837,0.8526769673014732,0.924553090190442,0.9247215235357528,0.893395728530363
2017-01-10,226.479996,227.449997,226.009995,226.460007,0.9246541501976284,0.923800754581387,0.9499865253323752,0.9497956342076895,0.93705926607977
2017-01-11,226.360001,227.100006,225.589996,227.100006,0.9318630973769314,0.8897547610492275,0.95224353215954,0.9513115343154869,0.9312932312252965
2017-01-12,226.5,226.75,224.960007,226.529999,0.9287414660438376,0.8031238771110313,0.9400714157384118,0.9316048329141214,0.9008853979518505
2017-01-13,226.729996,227.399994,226.690002,227.050003,0.9340639597556594,0.9406216313330937,0.9668186309737693,0.9543657923104564,0.9489675035932447
2017-01-17,226.309998,226.779999,225.800003,226.25,0.8274007366151634,0.749651904419691,0.8580443765720446,0.8273670499461013,0.81561601688825
2017-01-18,226.539993,226.800003,225.899994,226.75,0.7977227811713978,0.7317979698167445,0.8433008444125045,0.7565015271289974,0.7823307806324111
2017-01-19,226.839996,227.0,225.410004,225.910004,0.7663155767157743,0.5985896514552641,0.8045836327703917,0.7130794107078693,0.7206420679123249
2017-01-20,226.699997,227.309998,225.970001,226.740005,0.7573324649658641,0.6988973230326985,0.9023872619475386,0.9014664929931728,0.8150208857348185
2017-01-23,226.740005,226.809998,225.270004,226.149994,0.7342009522098455,0.6326917894358606,0.7975992633848364,0.7778588753144089,0.735587720086238
2017-01-24,226.399994,228.080002,226.270004,227.600006,0.7823728889687388,0.7720310815666547,0.8239197808120733,0.8169466403162056,0.7988175979159181
2017-01-25,228.699997,229.570007,228.509995,229.570007,0.8158125224577795,0.7737041861300755,0.8194731404958677,0.7929280452748833,0.8004794735896514
2017-01-26,229.399994,229.710007,229.009995,229.330002,0.7762306863097377,0.7598365073661516,0.8470176068990298,0.8405609953287819,0.8059114489759253
2017-01-27,229.419998,229.589996,228.759995,228.970001,0.8215729428674092,0.8316677146963708,0.8917535034135824,0.8831746316924183,0.8570421981674452
2017-01-30,228.169998,228.199997,226.410004,227.550003,0.7495733021918793,0.5308682177506288,0.7415334171757098,0.6638070427596119,0.6714454949694575
2017-01-31,226.979996,227.600006,226.320007,227.529999,0.6112782968020122,0.4907810815666547,0.6708363277039167,0.6549137621272009,0.606952367049946
2017-02-01,227.529999,228.589996,226.940002,227.619995,0.7031530722242185,0.6246069888609413,0.7239489759252604,0.6154442148760331,0.6667883129716133
2017-02-02,227.619995,228.100006,226.820007,227.770004,0.561399568810636,0.5277802730865973,0.7550530003593244,0.7334261588214157,0.6444147502694934
2017-02-03,228.820007,229.550003,228.460007,229.339996,0.8103103665109594,0.8083565397053539,0.9147614983830399,0.9127515271289974,0.8615449829320876
2017-02-06,228.869995,229.330002,228.539993,228.929993,0.7637329320876751,0.7491129177146963,0.8584261588214157,0.8300395256916996,0.8003278835788717
2017-02-07,229.380005,229.660004,228.720001,228.940002,0.844098095580309,0.8431548688465684,0.9098320158102767,0.9013878907653612,0.8746182177506289
2017-02-08,228.940002,229.389999,228.309998,229.240005,0.883051113905857,0.8599645167085879,0.9211844232842257,0.9018931908012936,0.8915233111749911
2017-02-09,229.240005,230.949997,229.240005,230.600006,0.9067440711462451,0.9022075997125404,0.9412392202659001,0.9412504491555875,0.9228603350700683
